吉林联通,#genre#
河北卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225538/10000100000000060000000000029591_0.smil
山西卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225540/10000100000000060000000000029592_0.smil
内蒙古卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225570/10000100000000060000000000029665_0.smil
辽宁卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225526/10000100000000060000000000029585_0.smil
黑龙江卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225558/10000100000000060000000000029619_0.smil
上海东方卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225512/10000100000000060000000000029578_0.smil
浙江卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225572/10000100000000060000000000029666_0.smil
江苏卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225500/10000100000000060000000000029511_0.smil
安徽卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225536/10000100000000060000000000029590_0.smil
福建东南卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225516/10000100000000060000000000029580_0.smil
江西卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225522/10000100000000060000000000029583_0.smil
山东卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225518/10000100000000060000000000029581_0.smil
河南卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225520/10000100000000060000000000029582_0.smil
湖北卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225506/10000100000000060000000000029573_0.smil
湖南卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225502/10000100000000060000000000029535_0.smil
广东卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225562/10000100000000060000000000029646_0.smil
广西卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225534/10000100000000060000000000029589_0.smil
深圳卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225498/10000100000000060000000000029510_0.smil
旅游卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225568/10000100000000060000000000029657_0.smil
重庆卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225554/10000100000000060000000000029616_0.smil
贵州卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225542/10000100000000060000000000029593_0.smil
云南卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225556/10000100000000060000000000029618_0.smil
西藏卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225544/10000100000000060000000000029594_0.smil
四川卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225508/10000100000000060000000000029576_0.smil
陕西卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225530/10000100000000060000000000029587_0.smil
青海卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225528/10000100000000060000000000029586_0.smil
兵团卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225546/10000100000000060000000000029595_0.smil
甘肃卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225566/10000100000000060000000000029649_0.smil
新疆卫视,rtsp://139.215.98.88/PLTV/88888888/224/3221225504/10000100000000060000000000029555_0.smil
上海炫动卡通,rtsp://139.215.98.88/PLTV/88888888/224/3221225574/10000100000000060000000000029709_0.smil
